Date,Store,Avg_Weekly_Sales,Last_Weeks_Sales,WoW_Change,WoW_Percent_Change
2011-01-28,1,1316899.31,1327405.42,-10506.11,-0.79
2011-02-04,1,1606629.58,1316899.31,289730.27,22.0
2011-02-11,1,1649614.93,1606629.58,42985.35,2.68
2011-02-18,1,1686842.78,1649614.93,37227.85,2.26
2011-02-25,1,1456800.28,1686842.78,-230042.5,-13.64
2011-03-04,1,1636263.41,1456800.28,179463.13,12.32
2011-03-11,1,1553191.63,1636263.41,-83071.78,-5.08
2011-03-18,1,1576818.06,1553191.63,23626.43,1.52
2011-03-25,1,1541102.38,1576818.06,-35715.68,-2.27
2011-04-01,1,1495064.75,1541102.38,-46037.63,-2.99
2011-04-08,1,1614259.35,1495064.75,119194.6,7.97
2011-04-15,1,1559889.0,1614259.35,-54370.35,-3.37
2011-04-22,1,1564819.81,1559889.0,4930.81,0.32
2011-04-29,1,1455090.69,1564819.81,-109729.12,-7.01
2011-05-06,1,1629391.28,1455090.69,174300.59,11.98
2011-05-13,1,1604775.58,1629391.28,-24615.7,-1.51
2011-05-20,1,1428218.27,1604775.58,-176557.31,-11.0
2011-05-27,1,1466046.67,1428218.27,37828.4,2.65
2011-06-03,1,1635078.41,1466046.67,169031.74,11.53
2011-06-10,1,1588948.32,1635078.41,-46130.09,-2.82
2011-06-17,1,1532114.86,1588948.32,-56833.46,-3.58
2011-06-24,1,1438830.15,1532114.86,-93284.71,-6.09
2011-07-01,1,1488538.09,1438830.15,49707.94,3.45
2011-07-08,1,1534849.64,1488538.09,46311.55,3.11
2011-07-15,1,1455119.97,1534849.64,-79729.67,-5.19
2011-07-22,1,1396926.82,1455119.97,-58193.15,-4.0
2011-07-29,1,1352219.79,1396926.82,-44707.03,-3.2
2011-08-05,1,1624383.75,1352219.79,272163.96,20.13
2011-08-12,1,1525147.09,1624383.75,-99236.66,-6.11
2011-08-19,1,1530761.43,1525147.09,5614.34,0.37
2011-08-26,1,1464693.46,1530761.43,-66067.97,-4.32
2011-09-02,1,1550229.22,1464693.46,85535.76,5.84
2011-09-09,1,1540471.24,1550229.22,-9757.98,-0.63
2011-09-16,1,1514259.78,1540471.24,-26211.46,-1.7
2011-09-23,1,1380020.27,1514259.78,-134239.51,-8.87
2011-09-30,1,1394561.83,1380020.27,14541.56,1.05
2011-10-07,1,1630989.95,1394561.83,236428.12,16.95
2011-10-14,1,1493525.93,1630989.95,-137464.02,-8.43
2011-10-21,1,1502562.78,1493525.93,9036.85,0.61
2011-10-28,1,1445249.09,1502562.78,-57313.69,-3.81
2011-11-04,1,1697229.58,1445249.09,251980.49,17.44
2011-11-11,1,1594938.89,1697229.58,-102290.69,-6.03
2011-11-18,1,1539483.7,1594938.89,-55455.19,-3.48
2011-11-25,1,2033320.66,1539483.7,493836.96,32.08
2011-12-02,1,1584083.95,2033320.66,-449236.71,-22.09
2011-12-09,1,1799682.38,1584083.95,215598.43,13.61
2011-12-16,1,1881176.67,1799682.38,81494.29,4.53
2011-12-23,1,2270188.99,1881176.67,389012.32,20.68
2011-12-30,1,1497462.72,2270188.99,-772726.27,-34.04
2012-01-06,1,1550369.92,1497462.72,52907.2,3.53
2012-01-13,1,1459601.17,1550369.92,-90768.75,-5.85
2012-01-20,1,1394393.84,1459601.17,-65207.33,-4.47
2012-01-27,1,1319325.59,1394393.84,-75068.25,-5.38
2012-02-03,1,1636339.65,1319325.59,317014.06,24.03
2012-02-10,1,1802477.43,1636339.65,166137.78,10.15
2012-02-17,1,1819870.0,1802477.43,17392.57,0.96
2012-02-24,1,1539387.83,1819870.0,-280482.17,-15.41
2012-03-02,1,1688420.76,1539387.83,149032.93,9.68
2012-03-09,1,1675431.16,1688420.76,-12989.6,-0.77
2012-03-16,1,1677472.78,1675431.16,2041.62,0.12
2012-03-23,1,1511068.07,1677472.78,-166404.71,-9.92
2012-03-30,1,1649604.63,1511068.07,138536.56,9.17
2012-04-06,1,1899676.88,1649604.63,250072.25,15.16
2012-04-13,1,1621031.7,1899676.88,-278645.18,-14.67
2012-04-20,1,1521577.87,1621031.7,-99453.83,-6.14
2012-04-27,1,1468928.37,1521577.87,-52649.5,-3.46
2012-05-04,1,1684519.99,1468928.37,215591.62,14.68
2012-05-11,1,1611096.05,1684519.99,-73423.94,-4.36
2012-05-18,1,1595901.87,1611096.05,-15194.18,-0.94
2012-05-25,1,1555444.55,1595901.87,-40457.32,-2.54
2012-06-01,1,1624477.58,1555444.55,69033.03,4.44
2012-06-08,1,1697230.96,1624477.58,72753.38,4.48
2012-06-15,1,1630607.0,1697230.96,-66623.96,-3.93
2012-06-22,1,1527845.81,1630607.0,-102761.19,-6.3
2012-06-29,1,1540421.49,1527845.81,12575.68,0.82
2012-07-06,1,1769854.16,1540421.49,229432.67,14.89
2012-07-13,1,1527014.04,1769854.16,-242840.12,-13.72
2012-07-20,1,1497954.76,1527014.04,-29059.28,-1.9
2012-07-27,1,1439123.71,1497954.76,-58831.05,-3.93
2012-08-03,1,1631135.79,1439123.71,192012.08,13.34
2012-08-10,1,1592409.97,1631135.79,-38725.82,-2.37
2012-08-17,1,1597868.05,1592409.97,5458.08,0.34
2012-08-24,1,1494122.38,1597868.05,-103745.67,-6.49
2012-08-31,1,1582083.4,1494122.38,87961.02,5.89
2012-09-07,1,1661767.33,1582083.4,79683.93,5.04
2012-09-14,1,1517428.87,1661767.33,-144338.46,-8.69
2012-09-21,1,1506126.06,1517428.87,-11302.81,-0.74
2012-09-28,1,1437059.26,1506126.06,-69066.8,-4.59
2012-10-05,1,1670785.97,1437059.26,233726.71,16.26
2012-10-12,1,1573072.81,1670785.97,-97713.16,-5.85
2012-10-19,1,1508068.77,1573072.81,-65004.04,-4.13
2012-10-26,1,1493659.74,1508068.77,-14409.03,-0.96
2010-02-05,2,2136989.46,,,
2010-02-12,2,2137809.5,2136989.46,820.04,0.04
2010-02-19,2,2124451.54,2137809.5,-13357.96,-0.62
2010-02-26,2,1865097.27,2124451.54,-259354.27,-12.21
2010-03-05,2,1991013.13,1865097.27,125915.86,6.75
2010-03-12,2,1990483.78,1991013.13,-529.35,-0.03
2010-03-19,2,1946070.88,1990483.78,-44412.9,-2.23
2010-03-26,2,1750197.81,1946070.88,-195873.07,-10.07
2010-04-02,2,2066187.72,1750197.81,315989.91,18.05
2010-04-09,2,1954689.21,2066187.72,-111498.51,-5.4
2010-04-16,2,1874957.94,1954689.21,-79731.27,-4.08
2010-04-23,2,1821990.93,1874957.94,-52967.01,-2.82
2010-04-30,2,1802450.29,1821990.93,-19540.64,-1.07
2010-05-07,2,2042581.71,1802450.29,240131.42,13.32
2010-05-14,2,1880752.36,2042581.71,-161829.35,-7.92
2010-05-21,2,1896937.1,1880752.36,16184.74,0.86
2010-05-28,2,1957113.89,1896937.1,60176.79,3.17
2010-06-04,2,2102539.93,1957113.89,145426.04,7.43
2010-06-11,2,2025538.76,2102539.93,-77001.17,-3.66
2010-06-18,2,2001636.96,2025538.76,-23901.8,-1.18
2010-06-25,2,1939927.09,2001636.96,-61709.87,-3.08
2010-07-02,2,2003940.64,1939927.09,64013.55,3.3
2010-07-09,2,1880902.62,2003940.64,-123038.02,-6.14
2010-07-16,2,1845879.79,1880902.62,-35022.83,-1.86
2010-07-23,2,1781717.71,1845879.79,-64162.08,-3.48
2010-07-30,2,1804246.16,1781717.71,22528.45,1.26
2010-08-06,2,1991909.98,1804246.16,187663.82,10.4
2010-08-13,2,1895601.05,1991909.98,-96308.93,-4.84
2010-08-20,2,1964335.23,1895601.05,68734.18,3.63
2010-08-27,2,1863840.49,1964335.23,-100494.74,-5.12
2010-09-03,2,1904608.09,1863840.49,40767.6,2.19
2010-09-10,2,1839128.83,1904608.09,-65479.26,-3.44
2010-09-17,2,1793903.6,1839128.83,-45225.23,-2.46
2010-09-24,2,1724557.22,1793903.6,-69346.38,-3.87
2010-10-01,2,1827440.43,1724557.22,102883.21,5.97
2010-10-08,2,1849921.44,1827440.43,22481.01,1.23
2010-10-15,2,1794355.49,1849921.44,-55565.95,-3.0
2010-10-22,2,1737947.64,1794355.49,-56407.85,-3.14
2010-10-29,2,1802755.11,1737947.64,64807.47,3.73
2010-11-05,2,1939061.41,1802755.11,136306.3,7.56
2010-11-12,2,1916812.74,1939061.41,-22248.67,-1.15
2010-11-19,2,1956739.17,1916812.74,39926.43,2.08
2010-11-26,2,2658725.29,1956739.17,701986.12,35.88
2010-12-03,2,2015781.27,2658725.29,-642944.02,-24.18
2010-12-10,2,2378726.55,2015781.27,362945.28,18.01
2010-12-17,2,2609166.75,2378726.55,230440.2,9.69
2010-12-24,2,3436007.68,2609166.75,826840.93,31.69
2010-12-31,2,1750434.55,3436007.68,-1685573.13,-49.06
2011-01-07,2,1758050.79,1750434.55,7616.24,0.44
2011-01-14,2,1744193.58,1758050.79,-13857.21,-0.79
2011-01-21,2,1751384.9,1744193.58,7191.32,0.41
2011-01-28,2,1695371.68,1751384.9,-56013.22,-3.2
2011-02-04,2,1929346.23,1695371.68,233974.55,13.8
2011-02-11,2,2168041.61,1929346.23,238695.38,12.37
2011-02-18,2,2080884.82,2168041.61,-87156.79,-4.02
2011-02-25,2,1833511.08,2080884.82,-247373.74,-11.89
2011-03-04,2,1981607.78,1833511.08,148096.7,8.08
2011-03-11,2,1879107.31,1981607.78,-102500.47,-5.17
2011-03-18,2,1902557.66,1879107.31,23450.35,1.25
2011-03-25,2,1766162.05,1902557.66,-136395.61,-7.17
2011-04-01,2,1800171.36,1766162.05,34009.31,1.93
2011-04-08,2,1847552.61,1800171.36,47381.25,2.63
2011-04-15,2,1856467.84,1847552.61,8915.23,0.48
2011-04-22,2,1886339.6,1856467.84,29871.76,1.61
2011-04-29,2,1745545.28,1886339.6,-140794.32,-7.46
2011-05-06,2,1837743.6,1745545.28,92198.32,5.28
2011-05-13,2,1838513.07,1837743.6,769.47,0.04
2011-05-20,2,1688281.86,1838513.07,-150231.21,-8.17
2011-05-27,2,1797732.56,1688281.86,109450.7,6.48
2011-06-03,2,1933756.21,1797732.56,136023.65,7.57
2011-06-10,2,1929153.16,1933756.21,-4603.05,-0.24
2011-06-17,2,1953771.99,1929153.16,24618.83,1.28
2011-06-24,2,1790925.8,1953771.99,-162846.19,-8.33
2011-07-01,2,1866243.0,1790925.8,75317.2,4.21
2011-07-08,2,1853161.99,1866243.0,-13081.01,-0.7
2011-07-15,2,1785187.29,1853161.99,-67974.7,-3.67
2011-07-22,2,1743816.41,1785187.29,-41370.88,-2.32
2011-07-29,2,1680693.06,1743816.41,-63123.35,-3.62
2011-08-05,2,1876704.26,1680693.06,196011.2,11.66
2011-08-12,2,1812768.26,1876704.26,-63936.0,-3.41
2011-08-19,2,1844094.59,1812768.26,31326.33,1.73
2011-08-26,2,1821139.91,1844094.59,-22954.68,-1.24
2011-09-02,2,1809119.7,1821139.91,-12020.21,-0.66
2011-09-09,2,1748000.65,1809119.7,-61119.05,-3.38
2011-09-16,2,1691439.52,1748000.65,-56561.13,-3.24
2011-09-23,2,1669299.78,1691439.52,-22139.74,-1.31
2011-09-30,2,1650394.44,1669299.78,-18905.34,-1.13
2011-10-07,2,1837553.43,1650394.44,187158.99,11.34
2011-10-14,2,1743882.19,1837553.43,-93671.24,-5.1
2011-10-21,2,1834680.25,1743882.19,90798.06,5.21
2011-10-28,2,1769296.25,1834680.25,-65384.0,-3.56
2011-11-04,2,1959707.9,1769296.25,190411.65,10.76
2011-11-11,2,1920725.15,1959707.9,-38982.75,-1.99
2011-11-18,2,1902762.5,1920725.15,-17962.65,-0.94
2011-11-25,2,2614202.3,1902762.5,711439.8,37.39
2011-12-02,2,1954952.0,2614202.3,-659250.3,-25.22
2011-12-09,2,2290549.32,1954952.0,335597.32,17.17
2011-12-16,2,2432736.52,2290549.32,142187.2,6.21
2011-12-23,2,3224369.8,2432736.52,791633.28,32.54
2011-12-30,2,1874226.52,3224369.8,-1350143.28,-41.87
2012-01-06,2,1799520.14,1874226.52,-74706.38,-3.99
2012-01-13,2,1744725.48,1799520.14,-54794.66,-3.04
2012-01-20,2,1711769.11,1744725.48,-32956.37,-1.89
2012-01-27,2,1660906.14,1711769.11,-50862.97,-2.97
2012-02-03,2,1935299.94,1660906.14,274393.8,16.52
2012-02-10,2,2103322.68,1935299.94,168022.74,8.68
2012-02-17,2,2196688.46,2103322.68,93365.78,4.44
2012-02-24,2,1861802.7,2196688.46,-334885.76,-15.25
2012-03-02,2,1952555.66,1861802.7,90752.96,4.87
2012-03-09,2,1937628.26,1952555.66,-14927.4,-0.76
2012-03-16,2,1976082.13,1937628.26,38453.87,1.98
2012-03-23,2,1790439.16,1976082.13,-185642.97,-9.39
2012-03-30,2,1857480.84,1790439.16,67041.68,3.74
2012-04-06,2,2129035.91,1857480.84,271555.07,14.62
2012-04-13,2,1935869.1,2129035.91,-193166.81,-9.07
2012-04-20,2,1847344.45,1935869.1,-88524.65,-4.57
2012-04-27,2,1764133.09,1847344.45,-83211.36,-4.5
2012-05-04,2,1923957.09,1764133.09,159824.0,9.06
2012-05-11,2,1917520.99,1923957.09,-6436.1,-0.33
2012-05-18,2,2000940.67,1917520.99,83419.68,4.35
2012-05-25,2,1912791.09,2000940.67,-88149.58,-4.41
2012-06-01,2,1910092.37,1912791.09,-2698.72,-0.14
2012-06-08,2,2010216.49,1910092.37,100124.12,5.24
2012-06-15,2,1962924.3,2010216.49,-47292.19,-2.35
2012-06-22,2,1887733.21,1962924.3,-75191.09,-3.83
2012-06-29,2,1881046.12,1887733.21,-6687.09,-0.35
2012-07-06,2,2041507.4,1881046.12,160461.28,8.53
2012-07-13,2,1830075.13,2041507.4,-211432.27,-10.36
2012-07-20,2,1819666.46,1830075.13,-10408.67,-0.57
2012-07-27,2,1757923.88,1819666.46,-61742.58,-3.39
2012-08-03,2,1946104.64,1757923.88,188180.76,10.7
2012-08-10,2,1866719.96,1946104.64,-79384.68,-4.08
2012-08-17,2,1928016.01,1866719.96,61296.05,3.28
2012-08-24,2,1876788.15,1928016.01,-51227.86,-2.66
2012-08-31,2,1947083.3,1876788.15,70295.15,3.75
2012-09-07,2,1898777.07,1947083.3,-48306.23,-2.48
2012-09-14,2,1814806.63,1898777.07,-83970.44,-4.42
2012-09-21,2,1829415.67,1814806.63,14609.04,0.8
2012-09-28,2,1746470.56,1829415.67,-82945.11,-4.53
2012-10-05,2,1998321.04,1746470.56,251850.48,14.42
2012-10-12,2,1900745.13,1998321.04,-97575.91,-4.88
2012-10-19,2,1847990.41,1900745.13,-52754.72,-2.78
2012-10-26,2,1834458.35,1847990.41,-13532.06,-0.73
2010-02-05,3,461622.22,,,
2010-02-12,3,420728.96,461622.22,-40893.26,-8.86
2010-02-19,3,421642.19,420728.96,913.23,0.22
2010-02-26,3,407204.86,421642.19,-14437.33,-3.42
2010-03-05,3,415202.04,407204.86,7997.18,1.96
2010-03-12,3,384200.69,415202.04,-31001.35,-7.47
2010-03-19,3,375328.59,384200.69,-8872.1,-2.31
2010-03-26,3,359949.27,375328.59,-15379.32,-4.1
2010-04-02,3,423294.4,359949.27,63345.13,17.6
2010-04-09,3,415870.28,423294.4,-7424.12,-1.75
2010-04-16,3,354993.26,415870.28,-60877.02,-14.64
2010-04-23,3,339976.65,354993.26,-15016.61,-4.23
2010-04-30,3,361248.39,339976.65,21271.74,6.26
2010-05-07,3,399323.86,361248.39,38075.47,10.54
2010-05-14,3,384357.94,399323.86,-14965.92,-3.75
2010-05-21,3,343763.17,384357.94,-40594.77,-10.56
2010-05-28,3,350089.23,343763.17,6326.06,1.84
2010-06-04,3,396968.8,350089.23,46879.57,13.39
2010-06-11,3,355017.09,396968.8,-41951.71,-10.57
2010-06-18,3,364076.85,355017.09,9059.76,2.55
2010-06-25,3,357346.48,364076.85,-6730.37,-1.85
2010-07-02,3,381151.72,357346.48,23805.24,6.66
2010-07-09,3,349214.18,381151.72,-31937.54,-8.38
2010-07-16,3,352728.78,349214.18,3514.6,1.01
2010-07-23,3,352864.49,352728.78,135.71,0.04
2010-07-30,3,347955.05,352864.49,-4909.44,-1.39
2010-08-06,3,402635.76,347955.05,54680.71,15.71
2010-08-13,3,339597.38,402635.76,-63038.38,-15.66
2010-08-20,3,351728.21,339597.38,12130.83,3.57
2010-08-27,3,362134.09,351728.21,10405.88,2.96
2010-09-03,3,366473.97,362134.09,4339.88,1.2
2010-09-10,3,352260.97,366473.97,-14213.0,-3.88
2010-09-17,3,363064.64,352260.97,10803.67,3.07
2010-09-24,3,355626.87,363064.64,-7437.77,-2.05
2010-10-01,3,358784.1,355626.87,3157.23,0.89
2010-10-08,3,395107.35,358784.1,36323.25,10.12
2010-10-15,3,345584.39,395107.35,-49522.96,-12.53
2010-10-22,3,348895.98,345584.39,3311.59,0.96
2010-10-29,3,348591.74,348895.98,-304.24,-0.09
2010-11-05,3,423175.56,348591.74,74583.82,21.4
2010-11-12,3,386635.03,423175.56,-36540.53,-8.63
2010-11-19,3,372545.32,386635.03,-14089.71,-3.64
2010-11-26,3,565567.84,372545.32,193022.52,51.81
2010-12-03,3,476420.77,565567.84,-89147.07,-15.76
2010-12-10,3,467642.03,476420.77,-8778.74,-1.84
2010-12-17,3,498159.39,467642.03,30517.36,6.53
2010-12-24,3,605990.41,498159.39,107831.02,21.65
2010-12-31,3,382677.76,605990.41,-223312.65,-36.85
2011-01-07,3,378241.34,382677.76,-4436.42,-1.16
2011-01-14,3,381061.1,378241.34,2819.76,0.75
2011-01-21,3,350876.7,381061.1,-30184.4,-7.92
2011-01-28,3,364866.24,350876.7,13989.54,3.99
2011-02-04,3,438516.53,364866.24,73650.29,20.19
2011-02-11,3,430526.21,438516.53,-7990.32,-1.82
2011-02-18,3,432782.1,430526.21,2255.89,0.52
2011-02-25,3,397211.19,432782.1,-35570.91,-8.22
2011-03-04,3,437084.51,397211.19,39873.32,10.04
2011-03-11,3,404753.3,437084.51,-32331.21,-7.4
2011-03-18,3,392109.51,404753.3,-12643.79,-3.12
2011-03-25,3,380683.67,392109.51,-11425.84,-2.91
2011-04-01,3,374556.08,380683.67,-6127.59,-1.61
2011-04-08,3,384075.31,374556.08,9519.23,2.54
2011-04-15,3,366250.69,384075.31,-17824.62,-4.64
2011-04-22,3,391860.04,366250.69,25609.35,6.99
2011-04-29,3,367405.4,391860.04,-24454.64,-6.24
2011-05-06,3,413042.12,367405.4,45636.72,12.42
2011-05-13,3,386312.68,413042.12,-26729.44,-6.47
2011-05-20,3,364603.13,386312.68,-21709.55,-5.62
2011-05-27,3,369350.6,364603.13,4747.47,1.3
2011-06-03,3,394507.84,369350.6,25157.24,6.81
2011-06-10,3,391638.75,394507.84,-2869.09,-0.73
2011-06-17,3,403423.34,391638.75,11784.59,3.01
2011-06-24,3,385520.71,403423.34,-17902.63,-4.44
2011-07-01,3,368962.72,385520.71,-16557.99,-4.29
2011-07-08,3,395146.24,368962.72,26183.52,7.1
2011-07-15,3,373454.33,395146.24,-21691.91,-5.49
2011-07-22,3,360617.37,373454.33,-12836.96,-3.44
2011-07-29,3,345381.29,360617.37,-15236.08,-4.22
2011-08-05,3,409981.25,345381.29,64599.96,18.7
2011-08-12,3,380376.85,409981.25,-29604.4,-7.22
2011-08-19,3,379716.91,380376.85,-659.94,-0.17
2011-08-26,3,366367.55,379716.91,-13349.36,-3.52
2011-09-02,3,375988.69,366367.55,9621.14,2.63
2011-09-09,3,377347.49,375988.69,1358.8,0.36
2011-09-16,3,375629.51,377347.49,-1717.98,-0.46
2011-09-23,3,365248.94,375629.51,-10380.57,-2.76
2011-09-30,3,368477.93,365248.94,3228.99,0.88
2011-10-07,3,403342.4,368477.93,34864.47,9.46
2011-10-14,3,368282.57,403342.4,-35059.83,-8.69
2011-10-21,3,394976.36,368282.57,26693.79,7.25
2011-10-28,3,389540.62,394976.36,-5435.74,-1.38
2011-11-04,3,459443.22,389540.62,69902.6,17.94
2011-11-11,3,407764.25,459443.22,-51678.97,-11.25
2011-11-18,3,398838.97,407764.25,-8925.28,-2.19
2011-11-25,3,556925.19,398838.97,158086.22,39.64
2011-12-02,3,472511.32,556925.19,-84413.87,-15.16
2011-12-09,3,468772.8,472511.32,-3738.52,-0.79
2011-12-16,3,510747.62,468772.8,41974.82,8.95
2011-12-23,3,551221.21,510747.62,40473.59,7.92
2011-12-30,3,410553.88,551221.21,-140667.33,-25.52
2012-01-06,3,398178.21,410553.88,-12375.67,-3.01
2012-01-13,3,367438.62,398178.21,-30739.59,-7.72
2012-01-20,3,365818.61,367438.62,-1620.01,-0.44
2012-01-27,3,349518.1,365818.61,-16300.51,-4.46
2012-02-03,3,424960.66,349518.1,75442.56,21.58
2012-02-10,3,473292.47,424960.66,48331.81,11.37
2012-02-17,3,475591.08,473292.47,2298.61,0.49
2012-02-24,3,418925.47,475591.08,-56665.61,-11.91
2012-03-02,3,469752.56,418925.47,50827.09,12.13
2012-03-09,3,445162.05,469752.56,-24590.51,-5.23
2012-03-16,3,411775.8,445162.05,-33386.25,-7.5
2012-03-23,3,413907.25,411775.8,2131.45,0.52
2012-03-30,3,407488.84,413907.25,-6418.41,-1.55
2012-04-06,3,503232.13,407488.84,95743.29,23.5
2012-04-13,3,420789.74,503232.13,-82442.39,-16.38
2012-04-20,3,434822.13,420789.74,14032.39,3.33
2012-04-27,3,394616.11,434822.13,-40206.02,-9.25
2012-05-04,3,439913.57,394616.11,45297.46,11.48
2012-05-11,3,431985.36,439913.57,-7928.21,-1.8
2012-05-18,3,418112.76,431985.36,-13872.6,-3.21
2012-05-25,3,413701.29,418112.76,-4411.47,-1.06
2012-06-01,3,432268.53,413701.29,18567.24,4.49
2012-06-08,3,446336.8,432268.53,14068.27,3.25
2012-06-15,3,442074.79,446336.8,-4262.01,-0.95
2012-06-22,3,419497.95,442074.79,-22576.84,-5.11
2012-06-29,3,422965.33,419497.95,3467.38,0.83
2012-07-06,3,411206.5,422965.33,-11758.83,-2.78
2012-07-13,3,416913.1,411206.5,5706.6,1.39
2012-07-20,3,432424.85,416913.1,15511.75,3.72
2012-07-27,3,389427.9,432424.85,-42996.95,-9.94
2012-08-03,3,419990.29,389427.9,30562.39,7.85
2012-08-10,3,391811.6,419990.29,-28178.69,-6.71
2012-08-17,3,394918.83,391811.6,3107.23,0.79
2012-08-24,3,412449.67,394918.83,17530.84,4.44
2012-08-31,3,408838.73,412449.67,-3610.94,-0.88
2012-09-07,3,408229.73,408838.73,-609.0,-0.15
2012-09-14,3,407589.16,408229.73,-640.57,-0.16
2012-09-21,3,414392.09,407589.16,6802.93,1.67
2012-09-28,3,389813.02,414392.09,-24579.07,-5.93
2012-10-05,3,443557.65,389813.02,53744.63,13.79
2012-10-12,3,410804.39,443557.65,-32753.26,-7.38
2012-10-19,3,424513.08,410804.39,13708.69,3.34
2012-10-26,3,405432.7,424513.08,-19080.38,-4.49
2010-02-05,4,2135143.87,,,
2010-02-12,4,2188307.39,2135143.87,53163.52,2.49
2010-02-19,4,2049860.26,2188307.39,-138447.13,-6.33
2010-02-26,4,1925728.84,2049860.26,-124131.42,-6.06
2010-03-05,4,1971057.44,1925728.84,45328.6,2.35
2010-03-12,4,1894324.09,1971057.44,-76733.35,-3.89
2010-03-19,4,1897429.36,1894324.09,3105.27,0.16
2010-03-26,4,1762539.3,1897429.36,-134890.06,-7.11
2010-04-02,4,1979247.12,1762539.3,216707.82,12.3
2010-04-09,4,1818452.72,1979247.12,-160794.4,-8.12
2010-04-16,4,1851519.69,1818452.72,33066.97,1.82
2010-04-23,4,1802677.9,1851519.69,-48841.79,-2.64
2010-04-30,4,1817273.28,1802677.9,14595.38,0.81
2010-05-07,4,2000626.14,1817273.28,183352.86,10.09
2010-05-14,4,1875597.28,2000626.14,-125028.86,-6.25
2010-05-21,4,1903752.6,1875597.28,28155.32,1.5
2010-05-28,4,1857533.7,1903752.6,-46218.9,-2.43
2010-06-04,4,1903290.58,1857533.7,45756.88,2.46
2010-06-11,4,1870619.23,1903290.58,-32671.35,-1.72
2010-06-18,4,1929736.35,1870619.23,59117.12,3.16
2010-06-25,4,1846651.95,1929736.35,-83084.4,-4.31
2010-07-02,4,1881337.21,1846651.95,34685.26,1.88
2010-07-09,4,1812208.22,1881337.21,-69128.99,-3.67
2010-07-16,4,1898427.66,1812208.22,86219.44,4.76
2010-07-23,4,1848426.78,1898427.66,-50000.88,-2.63
2010-07-30,4,1796637.61,1848426.78,-51789.17,-2.8
2010-08-06,4,1907638.58,1796637.61,111000.97,6.18
2010-08-13,4,2007050.75,1907638.58,99412.17,5.21
